canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
charm__8_ball_igl,csfloat,charm,Charm,Charm,Charm | 8 Ball IGL,8 Ball IGL,,,,,,Extraordinary,,False,False,956293562935414426,50378985448,4101.0,USD,charm
charm__charm_8_ball_igl,csgo_api_reference,charm,charm,charm,Charm | 8 Ball IGL,Charm | 8 Ball IGL,,,,,,Extraordinary,Dr Boom Charm Collection,False,False,keychain-78,78,,,
charm__charm_baby_karat_ct,csgo_api_reference,charm,charm,charm,Charm | Baby Karat CT,Charm | Baby Karat CT,,,,,,Extraordinary,Small Arms Charm Collection,False,False,keychain-21,21,,,
charm__charm_baby_karat_t,csgo_api_reference,charm,charm,charm,Charm | Baby Karat T,Charm | Baby Karat T,,,,,,Extraordinary,Small Arms Charm Collection,False,False,keychain-30,30,,,
charm__charm_babys_ak,csgo_api_reference,charm,charm,charm,Charm | Baby's AK,Charm | Baby's AK,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-17,17,,,
charm__charm_backsplash,csgo_api_reference,charm,charm,charm,Charm | Backsplash,Charm | Backsplash,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-26,26,,,
charm__charm_big_brain,csgo_api_reference,charm,charm,charm,Charm | Big Brain,Charm | Big Brain,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-61,61,,,
charm__charm_big_kev,csgo_api_reference,charm,charm,charm,Charm | Big Kev,Charm | Big Kev,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-8,8,,,
charm__charm_biomech,csgo_api_reference,charm,charm,charm,Charm | Biomech,Charm | Biomech,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-62,62,,,
charm__charm_bomb_tag,csgo_api_reference,charm,charm,charm,Charm | Bomb Tag,Charm | Bomb Tag,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-72,72,,,
charm__charm_butane_buddy,csgo_api_reference,charm,charm,charm,Charm | Butane Buddy,Charm | Butane Buddy,,,,,,Extraordinary,Dr Boom Charm Collection,False,False,keychain-81,81,,,
charm__charm_chicken_lil,csgo_api_reference,charm,charm,charm,Charm | Chicken Lil',Charm | Chicken Lil',,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-5,5,,,
charm__charm_dead_weight,csgo_api_reference,charm,charm,charm,Charm | Dead Weight,Charm | Dead Weight,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-41,41,,,
charm__charm_diamond_dog,csgo_api_reference,charm,charm,charm,Charm | Diamond Dog,Charm | Diamond Dog,,,,,,Exotic,Missing Link Charm Collection,False,False,keychain-11,11,,,
charm__charm_die_cast_ak,csgo_api_reference,charm,charm,charm,Charm | Die-cast AK,Charm | Die-cast AK,,,,,,Remarkable,Small Arms Charm Collection,False,False,keychain-18,18,,,
