canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__10_year_birthday_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,10 Year Birthday Sticker Capsule,10 Year Birthday Sticker Capsule,,,,,,Base Grade,,False,False,crate-4847,4847,,,Sticker Capsule
container__2020_rmr_challengers,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,2020 RMR Challengers,2020 RMR Challengers,,,,,,Base Grade,,False,False,crate-4744,4744,,,Sticker Capsule
container__2020_rmr_contenders,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,2020 RMR Contenders,2020 RMR Contenders,,,,,,Base Grade,,False,False,crate-4745,4745,,,Sticker Capsule
container__2020_rmr_legends,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,2020 RMR Legends,2020 RMR Legends,,,,,,Base Grade,,False,False,crate-4743,4743,,,Sticker Capsule
container__2021_community_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,2021 Community Sticker Capsule,2021 Community Sticker Capsule,,,,,,Base Grade,,False,False,crate-4782,4782,,,Sticker Capsule
container__ambush_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Ambush Sticker Capsule,Ambush Sticker Capsule,,,,,,Base Grade,,False,False,crate-4905,4905,,,Sticker Capsule
container__antwerp_2022_ancient_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Ancient Souvenir Package,Antwerp 2022 Ancient Souvenir Package,,,,,,Base Grade,,False,False,crate-4839,4839,,,Souvenir
container__antwerp_2022_challengers_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Antwerp 2022 Challengers Autograph Capsule,Antwerp 2022 Challengers Autograph Capsule,,,,,,Base Grade,,False,False,crate-4843,4843,,,Autograph Capsule
container__antwerp_2022_challengers_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Antwerp 2022 Challengers Sticker Capsule,Antwerp 2022 Challengers Sticker Capsule,,,,,,Base Grade,,False,False,crate-4833,4833,,,Sticker Capsule
container__antwerp_2022_champions_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Antwerp 2022 Champions Autograph Capsule,Antwerp 2022 Champions Autograph Capsule,,,,,,Base Grade,,False,False,crate-4845,4845,,,Autograph Capsule
container__antwerp_2022_contenders_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Antwerp 2022 Contenders Autograph Capsule,Antwerp 2022 Contenders Autograph Capsule,,,,,,Base Grade,,False,False,crate-4844,4844,,,Autograph Capsule
container__antwerp_2022_contenders_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Antwerp 2022 Contenders Sticker Capsule,Antwerp 2022 Contenders Sticker Capsule,,,,,,Base Grade,,False,False,crate-4834,4834,,,Sticker Capsule
container__antwerp_2022_dust_ii_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Dust II Souvenir Package,Antwerp 2022 Dust II Souvenir Package,,,,,,Base Grade,,False,False,crate-4837,4837,,,Souvenir
container__antwerp_2022_inferno_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Inferno Souvenir Package,Antwerp 2022 Inferno Souvenir Package,,,,,,Base Grade,,False,False,crate-4835,4835,,,Souvenir
container__antwerp_2022_legends_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Antwerp 2022 Legends Autograph Capsule,Antwerp 2022 Legends Autograph Capsule,,,,,,Base Grade,,False,False,crate-4842,4842,,,Autograph Capsule
container__antwerp_2022_legends_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Antwerp 2022 Legends Sticker Capsule,Antwerp 2022 Legends Sticker Capsule,,,,,,Base Grade,,False,False,crate-4832,4832,,,Sticker Capsule
container__antwerp_2022_mirage_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Mirage Souvenir Package,Antwerp 2022 Mirage Souvenir Package,,,,,,Base Grade,,False,False,crate-4836,4836,,,Souvenir
