canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
sticker__100_thieves_holo_boston_2018,csfloat,sticker,Sticker,Sticker,Sticker | 100 Thieves (Holo) | Boston 2018,100 Thieves (Holo) | Boston 2018,,,,,,Remarkable,,False,False,954732194243413252,19221223401,57579.0,USD,sticker
sticker__3dmax_holo_katowice_2015,csfloat,sticker,Sticker,Sticker,Sticker | 3DMAX (Holo) | Katowice 2015,3DMAX (Holo) | Katowice 2015,,,,,,Remarkable,,False,False,956855077681889919,50409827131,21800.0,USD,sticker
sticker__adren_foil_atlanta_2017,csfloat,sticker,Sticker,Sticker,Sticker | AdreN (Foil) | Atlanta 2017,AdreN (Foil) | Atlanta 2017,,,,,,Exotic,,False,False,949006009987369116,49840289167,5950.0,USD,sticker
sticker__aizy_gold_boston_2018,csfloat,sticker,Sticker,Sticker,Sticker | aizy (Gold) | Boston 2018,aizy (Gold) | Boston 2018,,,,,,Extraordinary,,False,False,915746617833949466,48162503873,19500.0,USD,sticker
sticker__allu_foil_atlanta_2017,csfloat,sticker,Sticker,Sticker,Sticker | allu (Foil) | Atlanta 2017,allu (Foil) | Atlanta 2017,,,,,,Exotic,,False,False,957099415028500965,49283834369,3800.0,USD,sticker
sticker__balblna_gold_boston_2018,csfloat,sticker,Sticker,Sticker,Sticker | balblna (Gold) | Boston 2018,balblna (Gold) | Boston 2018,,,,,,Extraordinary,,False,False,956993548706776789,49722964620,21382.0,USD,sticker
sticker__cadian_gold_london_2018,csfloat,sticker,Sticker,Sticker,Sticker | cadiaN (Gold) | London 2018,cadiaN (Gold) | London 2018,,,,,,Extraordinary,,False,False,955517957323229151,29662691127,47902.0,USD,sticker
sticker__cajunb_foil_atlanta_2017,csfloat,sticker,Sticker,Sticker,Sticker | cajunb (Foil) | Atlanta 2017,cajunb (Foil) | Atlanta 2017,,,,,,Exotic,,False,False,954692669492299376,50233643694,19985.0,USD,sticker
sticker__chrisj_gold_boston_2018,csfloat,sticker,Sticker,Sticker,Sticker | chrisJ (Gold) | Boston 2018,chrisJ (Gold) | Boston 2018,,,,,,Extraordinary,,False,False,920439295871944244,14389079874,19500.0,USD,sticker
sticker__clan_mystik_katowice_2014,csfloat,sticker,Sticker,Sticker,Sticker | Clan-Mystik | Katowice 2014,Clan-Mystik | Katowice 2014,,,,,,High Grade,,False,False,955320402144530337,50292768156,64851.0,USD,sticker
sticker__cloud9_g2a_foil_katowice_2015,csfloat,sticker,Sticker,Sticker,Sticker | Cloud9 G2A (Foil) | Katowice 2015,Cloud9 G2A (Foil) | Katowice 2015,,,,,,Exotic,,False,False,941638837921253569,49436109526,14276.0,USD,sticker
