canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
ak_47__aphrodite__battle_scarred,csfloat,weapon,Skin,Skin,AK-47 | Aphrodite (Battle-Scarred),AK-47 | Aphrodite,Skin,rifle,AK-47,Aphrodite,Battle-Scarred,Covert,Limited Edition Item,False,False,957029846943402869,50162394063,281.0,USD,skin
ak_47__aphrodite__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Aphrodite (Factory New),AK-47 | Aphrodite,Skin,rifle,AK-47,Aphrodite,Factory New,Covert,Limited Edition Item,False,False,953629099291707231,50251055300,37636.0,USD,skin
ak_47__aphrodite__field_tested,csfloat,weapon,Skin,Skin,AK-47 | Aphrodite (Field-Tested),AK-47 | Aphrodite,Skin,rifle,AK-47,Aphrodite,Field-Tested,Covert,Limited Edition Item,False,False,957246061901120321,49739965724,100.0,USD,skin
ak_47__aphrodite__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Aphrodite (Minimal Wear),AK-47 | Aphrodite (Minimal Wear),Rifles,rifle,AK-47,Aphrodite,Minimal Wear,Covert,,False,False,skin-9197715f9f3f_1,1397,,,
ak_47__aphrodite__well_worn,csfloat,weapon,Skin,Skin,AK-47 | Aphrodite (Well-Worn),AK-47 | Aphrodite,Skin,rifle,AK-47,Aphrodite,Well-Worn,Covert,Limited Edition Item,False,False,957066169074978537,50315681474,1000.0,USD,skin
ak_47__aquamarine_revenge__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),Rifles,rifle,AK-47,Aquamarine Revenge,Battle-Scarred,Covert,,False,False,skin-0ffd6029f447_4,474,,,
ak_47__aquamarine_revenge__battle_scarred__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred),StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred),Rifles,rifle,AK-47,Aquamarine Revenge,Battle-Scarred,Covert,,True,False,skin-0ffd6029f447_4_st,474,,,
ak_47__aquamarine_revenge__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,Skin,rifle,AK-47,Aquamarine Revenge,Factory New,Covert,The Falchion Collection,False,False,957248696544790282,49960324964,38979.0,USD,skin
ak_47__aquamarine_revenge__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Aquamarine Revenge (Factory New),StatTrak™ AK-47 | Aquamarine Revenge (Factory New),Rifles,rifle,AK-47,Aquamarine Revenge,Factory New,Covert,,True,False,skin-0ffd6029f447_0_st,474,,,
ak_47__aquamarine_revenge__field_tested,csfloat,weapon,Skin,Skin,AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,Skin,rifle,AK-47,Aquamarine Revenge,Field-Tested,Covert,The Falchion Collection,False,False,957157641736553007,50362491896,655.0,USD,skin
ak_47__aquamarine_revenge__field_tested__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested),StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested),Rifles,rifle,AK-47,Aquamarine Revenge,Field-Tested,Covert,,True,False,skin-0ffd6029f447_2_st,474,,,
ak_47__aquamarine_revenge__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),Rifles,rifle,AK-47,Aquamarine Revenge,Minimal Wear,Covert,,False,False,skin-0ffd6029f447_1,474,,,
ak_47__aquamarine_revenge__minimal_wear__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear),StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear),Rifles,rifle,AK-47,Aquamarine Revenge,Minimal Wear,Covert,,True,False,skin-0ffd6029f447_1_st,474,,,
